location_id,village_name,date,latitude,longitude,elevation_m,distance_river_ramganga,distance_river_kosi,distance_river_kailash,distance_river_deoha,distance_river_sarda,distance_dam_nanakSagar,HeavyFlood,MidFlood,LowFlood,Unnamed: 15,rain_mm
,Khatima,02-04-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-04-2025,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-05-2023,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-05-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-05-2025,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,7.58
,Khatima,02-06-2023,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-06-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-06-2025,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-07-2023,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-07-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-07-2025,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,1.0,,11.42
,Khatima,02-08-2023,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,1.0,1.0,1.0,,42.02
,Khatima,02-08-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-08-2025,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-09-2023,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-09-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-09-2025,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-10-2023,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
,Khatima,02-10-2024,28.909628,79.949147,299,45720.0,41820.0,64125.0,15406.4,6682.5,50002.38,0.0,0.0,0.0,,0.0
